4.628930334083270282e+01,4.666907876188270166e+01,4.661548006663360866e+01,2.537099207279767393e-10,5.064893372033397602e-11,3.771786677881191498e-10
4.929996860542814829e+01,5.013899513143405784e+01,4.932357338451038231e+01,5.630925662543638664e-11,8.934855657738838542e-12,9.738501377273263394e-11
4.669810507752481499e+01,4.743070701584292692e+01,4.667145733032521093e+01,2.068079741612538856e-10,3.460866386961714386e-11,3.667683182178564599e-10
4.432939653289577109e+01,4.469796522629985702e+01,4.427871828039133106e+01,6.759674837870461912e-10,1.357038511535178851e-10,1.213300836096428766e-09
3.803833505321017583e+01,3.839847825767719769e+01,3.784244434904030641e+01,1.570407817259975932e-08,3.165981606278904643e-09,3.031011771792314195e-08
3.731716712501292932e+01,3.847817149903494283e+01,3.731819931964128045e+01,2.252226552837316689e-08,3.042308283258776253e-09,3.939362848152216578e-08
3.697267600513805519e+01,3.820647027291488484e+01,3.677594747369221295e+01,2.675576485913533651e-08,3.484996862957752542e-09,5.166238803180716011e-08
3.534811294232349610e+01,3.600696343534946209e+01,3.492383226046149503e+01,6.028187573331289111e-08,1.046692790320115642e-08,1.304236005787305052e-07
3.860348572877046536e+01,3.946166210015871911e+01,3.824278044778111507e+01,1.183835989003814355e-08,1.860548302239670739e-09,2.481165557161246518e-08
3.363174987200545729e+01,3.433593225300137419e+01,3.314079293335453258e+01,1.421969438808531376e-07,2.413676396853943334e-08,3.180813865885030319e-07
3.367030393046297831e+01,3.432870441264094552e+01,3.328509170877077850e+01,1.394820607493930611e-07,2.422415011510138540e-08,2.959403444509030263e-07
3.401902127214998472e+01,3.502643427479051752e+01,3.383320492364873644e+01,1.171643119669289052e-07,1.708985723058547330e-08,2.250001992042262580e-07
3.472922993253087043e+01,3.559505242862360319e+01,3.459561211135223857e+01,8.214393350371349290e-08,1.286069892646178585e-08,1.536838689802132205e-07
3.263164573286121595e+01,3.345664581961682416e+01,3.266791038219525944e+01,2.344553336759940800e-07,3.746395874557543051e-08,4.029242416451360693e-07
3.686717111222242238e+01,3.791390982260054443e+01,3.695779386144204182e+01,2.820508851143229800e-08,4.033955342582912738e-09,4.717229824269419897e-08
3.890177551006490830e+01,3.996014284987541032e+01,3.894743645072230720e+01,1.019808753776080108e-08,1.450097587042151026e-09,1.744382161924557781e-08
3.999411009831965202e+01,4.065359147783601657e+01,4.002135295968400897e+01,5.906378757803172784e-09,1.025219300687241388e-09,1.019632406486908007e-08
4.245387068170020939e+01,4.290603202682541450e+01,4.262728856139437994e+01,1.726597347557161940e-09,3.324340671287496393e-10,2.770587713639965663e-09
4.266753516407698044e+01,4.289473870493020513e+01,4.298212181395501830e+01,1.551652325214322941e-09,3.343165193762595442e-10,2.320175530241440256e-09
4.252694639532637666e+01,4.264766307978788973e+01,4.310865127496799687e+01,1.664649788018435625e-09,3.782767307121333060e-10,2.177937029236483997e-09
3.869744222352528595e+01,3.917373157898327918e+01,3.980840543672093190e+01,1.129507567407072060e-08,2.148643023507232508e-09,1.134186822292430078e-08
4.028894141729688272e+01,4.080522596324226470e+01,4.171740121779657784e+01,5.096822227073530937e-09,9.503635331545672332e-10,4.366680635407772431e-09
3.809535776049960987e+01,3.870676858820661437e+01,3.965869499004111276e+01,1.526265631563900791e-08,2.713713484569123526e-09,1.222345020050767308e-08
4.019075931168481475e+01,4.044388178192457417e+01,4.177443357224547071e+01,5.353273835390626826e-09,1.138556679390462747e-09,4.243918271982579781e-09
4.022478101128945127e+01,4.058649438054271741e+01,4.134417732568545034e+01,5.262980260780386051e-09,1.060197371418655270e-09,5.262546770830717299e-09
3.873359931612139917e+01,3.934853614349776763e+01,3.970246232222052640e+01,1.109271185893924701e-08,1.968819665792376872e-09,1.195886193753327602e-08
3.786360401700221701e+01,3.805815287221412291e+01,3.913531979155231966e+01,1.713778976425164299e-08,3.753263936205653562e-09,1.587973635902009530e-08
3.590600639262993354e+01,3.612346657140369643e+01,3.725031421174935531e+01,4.560807413134189918e-08,9.874631511621143881e-09,4.075370042362653415e-08
3.935260219564224826e+01,3.883639224061334971e+01,3.995551381324548856e+01,8.139973004626235971e-09,2.543411169626949453e-09,1.053756869871540302e-08
